code;municipa;district;regday;specneed;bilingua;occupday;tot_day;s_p_c;spec_ed;lnch_pct;tchratio;percap;totsc4;totsc8;avgsalry;pctel
1;ABINGTON;Abington;4201;7375,69;0;0;4646;16,6;14,6;11,8;19;16,379;714;691;34,36;0
3;ACUSHNET;Acushnet;3627;8081,72;0;0;4281;7,5;12,1;14,1;19,3;14,04;704;693;32,491;0
5;AGAWAM;Agawam;4015;8181,37;0;0;4826;8,6;21,1;12,1;17,9;16,111;704;691;33,106;0,3225806
7;AMESBURY;Amesbury;4273;7037,22;0;0;4824;6,1;16,8;17,4;17,5;15,423;701;699;34,4365;0
9;ANDOVER;Andover;4685;12279,58;0;0;5537;5,4;11,3;3,3;17,1;26,327;725;728;41,615;0
10;ARLINGTON;Arlington;5518;10055,05;0;0;6405;7,1;20,4;11,2;16,8;21,449;717;715;36,994;2,702703
14;ASHLAND;Ashland;5009;8840,86;0;0;5649;10,6;13,9;8,6;17,3;21,912;702;705;34,4215;0
16;ATTLEBORO;Attleboro;3823;9547,39;12943;11519;4814;6,7;13,2;20,7;20,5;14,97;701;688;33,879;0,3752345
17;AUBURN;Auburn;4625;8212,66;0;0;5210;12,5;11,1;10,7;15,6;17,5;713;703;36,089;0
19;AYER;Ayer;6554;12105,43;0;0;7389;4,2;16,8;23,9;11,4;14,586;703;680;38,594;0
20;BARNSTABLE;Barnstable;4484;9320,77;1741;0;5323;8,8;14,9;18,7;17,6;17,376;704;698;36,649;1,003345
23;BEDFORD;Bedford;6240;10993,02;0;0;7234;4,8;17,2;2,9;14,8;24,59;721;726;39,363;0
25;BELLINGHAM;Bellingham;4254;7515,56;5281;1470;5048;9,4;20;8,1;19,6;15,869;708;688;35,872;0
26;BELMONT;Belmont;5323;8725,27;0;0;6065;15;15,1;6,5;17,3;26,793;728;725;42,429;2,173913
27;BERKLEY;Berkley;3079;7755,44;0;0;3930;13,8;19,6;5,6;20,1;14,639;710;697;30,3655;0
30;BEVERLY;Beverly;4205;8288,45;0;0;4961;9,8;17,3;15,3;17;18,436;713;711;35,021;0
35;BOSTON;Boston;5146;12417,31;8856;10609;7424;7,6;21,1;70;27;15,581;664;653;41,3955;10,79802
36;BOURNE;Bourne;4512;8280,89;0;0;5203;15,5;12,2;21,5;18,7;14,962;702;685;36,67;0
40;BRAINTREE;Braintree;4793;7597,86;0;0;5313;6,6;17,4;9;17,1;18,624;711;701;38,198;0,2392344
44;BROCKTON;Brockton;4707;8705,64;4717;5126;5449;14,8;14,4;54;19,1;13,455;678;661;37,08;1,754386
46;BROOKLINE;Brookline;6158;12746,04;8705;0;7386;5;20,4;12,6;15,8;29,044;725;730;40,1885;2,5
48;BURLINGTON;Burlington;5690;9255,07;0;3725;6117;6,8;15,3;5,5;13,5;20,374;716;701;36,244;1
50;CANTON;Canton;5338;8136,85;0;0;5948;8,7;18,1;4;16,9;22,035;720;700;36,35;0,4366812
52;CARVER;Carver;4239;6270,07;295140;0;4757;9,9;20,7;13,9;17,6;14,122;699;684;35,823;0
55;CHATHAM;Chatham;6902;14225,69;0;0;8162;4,7;11,5;10,3;12;18,471;695;704;37,7875;5,263158
56;CHELMSFORD;Chelmsford;4586;7666,7;0;0;5034;7;14,6;3,5;17,2;21,814;715;710;36,965;0,2217295
57;CHELSEA;Chelsea;4411;11056,82;4803;0;5257;6,9;11,4;65,8;21;11,559;672;652;34,67;9,661836
61;CHICOPEE;Chicopee;4521;15740,58;7702;4805;5357;8,8;18,6;39,4;17,1;13,525;684;667;33,6795;2,398524
63;CLARKSBURG;Clarksburg;4447;8810,64;0;0;5290;5,3;17;18,1;13,7;13,139;715;698;32,867;0
